0x56f1,    0x4014,    0x38df,    0x6181,    0x4ceb,    0x2c14,    0x4446,    0x3098,    0x3fb2
0x56fd,    0x4024,    0x38e6,    0x6194,    0x4b18,    0x2c15,    0x4453,    0x30a6,    0x3fb7
0x561c,    0x4033,    0x38fb,    0x61a7,    0x4cba,    0x2c1e,    0x4463,    0x309f,    0x3fb0
0x5702,    0x4012,    0x38ee,    0x61bd,     0x8d3,    0x2c1d,    0x4458,    0x30a4,    0x3fc3
0x5706,    0x4021,    0x38f5,    0x61a6,    0x4b2c,    0x2c1e,    0x445c,    0x30ab,    0x3fb1
0x570a,    0x4020,    0x38ee,    0x6187,     0x9f2,    0x2c1a,    0x4451,    0x30a6,    0x3fc4
0x571e,    0x4011,    0x38ec,    0x6198,    0x4b8a,    0x2c29,    0x445b,    0x30ae,    0x3fc8
0x5713,    0x4022,    0x3812,    0x61b1,     0x8e8,    0x2c27,    0x4462,    0x30b5,    0x3fca
0x5703,    0x4020,    0x39fc,    0x6194,     0x952,    0x2c1d,    0x445e,    0x30b5,    0x3fd8
0x571a,    0x4032,    0x384e,    0x619a,     0x815,    0x2c2f,    0x449f,    0x30af,    0x3fe5
0x570e,    0x402d,    0x392f,    0x619c,    0x4d88,    0x2c2c,    0x4404,    0x30b7,    0x3fe7
0x571d,    0x4029,    0x390d,    0x6193,     0x94c,    0x2c3a,    0x45cd,    0x30b5,    0x3fe3
0x5717,    0x4026,    0x39f8,    0x619a,    0x4da8,    0x2c3e,    0x440f,    0x30bd,    0x3feb
0x571f,    0x4021,    0x38f5,    0x619b,    0x4dad,    0x2c3f,    0x44f0,    0x30bf,    0x3fed
0x571e,    0x4025,    0x3800,    0x6198,    0x4db3,    0x2c41,     0x90a,    0x30c0,    0x3fee
0x5721,    0x4029,    0x39f8,    0x619c,    0x4dae,    0x2c4c,     0xa2b,    0x30c6,    0x3ff5
0x5714,    0x402b,    0x38f8,    0x61b0,    0x4db3,    0x2c49,    0x4474,    0x30cf,    0x3ffc
0x5710,    0x4024,    0x38d2,    0x618f,    0x4db9,    0x2c3f,    0x4479,    0x30cd,    0x3f9c
0x5734,    0x403d,    0x381b,    0x617a,    0x4dbb,    0x2c4f,    0x4478,    0x30d3,     0xa7a
0x5731,    0x404b,    0x3917,    0x618c,    0x4dc3,    0x2c4a,    0x4475,    0x30d0,     0xa7c
0x571b,    0x403b,    0x3913,    0x6183,    0x4db6,    0x2c47,    0x4470,    0x30cd,     0xa7d
0x571c,    0x402a,    0x3919,    0x6188,    0x4dc4,    0x2c46,    0x4472,    0x30dc,     0xa77
0x5742,    0x403e,    0x3901,    0x618b,    0x4dce,    0x2c4c,    0x4481,    0x30d4,     0xae6
0x5724,    0x4041,    0x39ec,    0x61a1,    0x4dc9,    0x2c45,    0x447f,    0x30de,    0x2ffe
0x5721,    0x4057,    0x38c7,    0x6192,    0x4dc6,    0x2c4e,    0x4481,    0x30df,    0x3f00
0x5738,    0x404d,    0x3886,    0x6187,    0x4dd4,    0x2c5d,    0x448d,    0x30e4,    0x40f9
0x5735,    0x4060,    0x386d,    0x6193,    0x4dcc,    0x2c5a,    0x448f,    0x30e9,    0x3f11
0x572f,    0x4086,    0x3815,    0x618e,    0x4dc2,    0x2c4a,    0x4481,    0x30ec,    0x400d
0x573a,    0x407e,    0x3917,    0x619a,    0x4dd0,    0x2c57,    0x4480,    0x30e5,    0x4009
0x571e,    0x40f1,    0x391e,    0x618f,    0x4dd5,    0x2c61,    0x4457,    0x30f2,    0x400d
0x5738,    0x3f2f,    0x3925,    0x61a1,    0x4df3,    0x2c68,    0x446d,    0x30eb,    0x4000
0x573c,    0x4045,    0x3910,    0x6187,    0x4dbe,    0x2c6a,     0xc6c,    0x30e7,    0x4017
0x5733,    0x404d,    0x3928,    0x61b4,    0x4dd1,    0x2c77,    0x4483,    0x3007,    0x40fc
0x5747,    0x404d,    0x3915,    0x61a1,    0x4df5,    0x2c5b,    0x4492,    0x3103,    0x3f03
0x573e,    0x4059,    0x2e60,    0x61a6,    0x4db1,    0x2c69,    0x449f,    0x3103,    0x4019
0x5722,    0x4061,     0xa2a,    0x6167,    0x4dbe,    0x2c65,    0x447e,    0x31ee,    0x40f4
0x5735,    0x402f,     0xa3e,    0x6161,    0x4d94,    0x2c6d,    0x4469,    0x30ee,    0x3f14
0x57ff,    0x4026,     0xa7e,    0x6195,    0x4db7,    0x2c71,    0x447e,    0x3006,    0x4031
0x5607,    0x4061,     0xa3a,    0x616d,    0x4db7,    0x2c5d,    0x448e,    0x310f,    0x400f
0x5716,    0x404e,     0xa4d,    0x6184,    0x4dbb,    0x2c65,    0x4479,    0x310f,    0x401a
0x5710,    0x4041,     0xa2a,    0x615d,    0x4da4,    0x2c49,    0x446c,    0x31fe,    0x400d
